source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
1	Bcell	basal_like_1	TGFB1	TGFbR1_R2	9.15026408138993e-07	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
2	endothelial	basal_like_1	TGFB1	TGFbR1_R2	1.50301835192554e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
3	macrophage	basal_like_1	TGFB1	TGFbR1_R2	1.99572569000008e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
4	stroma	basal_like_1	TGFB1	TGFbR1_R2	1.20134000798508e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
5	Tcell	basal_like_1	TGFB1	TGFbR1_R2	2.6836793649942e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
6	basal_like_1	Bcell	TGFB1	TGFbR1_R2	9.88249144608856e-07	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
7	Bcell	Bcell	TGFB1	TGFbR1_R2	1.92487144141005e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
8	endothelial	Bcell	TGFB1	TGFbR1_R2	3.16178312245253e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
9	macrophage	Bcell	TGFB1	TGFbR1_R2	4.19825081555125e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
10	stroma	Bcell	TGFB1	TGFbR1_R2	2.52716660162932e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
11	Tcell	Bcell	TGFB1	TGFbR1_R2	5.64544015389951e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
12	basal_like_1	endothelial	TGFB1	TGFbR1_R2	1.54724298849887e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
13	Bcell	endothelial	TGFB1	TGFbR1_R2	3.01365513952177e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
14	endothelial	endothelial	TGFB1	TGFbR1_R2	4.95020945697751e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
15	macrophage	endothelial	TGFB1	TGFbR1_R2	6.57293903157107e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
16	stroma	endothelial	TGFB1	TGFbR1_R2	3.95663073002017e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
17	Tcell	endothelial	TGFB1	TGFbR1_R2	8.83870537809932e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
18	Bcell	luminal_ar	TGFB1	TGFbR1_R2	8.54966550371537e-07	0.01	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
19	endothelial	luminal_ar	TGFB1	TGFbR1_R2	1.40436435279048e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
20	macrophage	luminal_ar	TGFB1	TGFbR1_R2	1.8647317998857e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
21	stroma	luminal_ar	TGFB1	TGFbR1_R2	1.12248732592587e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
22	Tcell	luminal_ar	TGFB1	TGFbR1_R2	2.50753022744572e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
23	basal_like_1	macrophage	TGFB1	TGFbR1_R2	8.74897862705906e-07	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
24	Bcell	macrophage	TGFB1	TGFbR1_R2	1.70409062242403e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
25	endothelial	macrophage	TGFB1	TGFbR1_R2	2.79913018519108e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
26	macrophage	macrophage	TGFB1	TGFbR1_R2	3.71671666835194e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
27	stroma	macrophage	TGFB1	TGFbR1_R2	2.23730331152986e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
28	Tcell	macrophage	TGFB1	TGFbR1_R2	4.99791602388616e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
29	Bcell	mesenchymal	TGFB1	TGFbR1_R2	1.0264610584499e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
30	endothelial	mesenchymal	TGFB1	TGFbR1_R2	1.68606029303256e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
31	macrophage	mesenchymal	TGFB1	TGFbR1_R2	2.23877082127541e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
32	stroma	mesenchymal	TGFB1	TGFbR1_R2	1.34764272937443e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
33	Tcell	mesenchymal	TGFB1	TGFbR1_R2	3.01050518867763e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
34	basal_like_1	stroma	TGFB1	TGFbR1_R2	9.49422461322411e-07	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
35	Bcell	stroma	TGFB1	TGFbR1_R2	1.84924642803256e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
36	endothelial	stroma	TGFB1	TGFbR1_R2	3.03756193705323e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
37	macrophage	stroma	TGFB1	TGFbR1_R2	4.03330858919078e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
38	stroma	stroma	TGFB1	TGFbR1_R2	2.42787842604185e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
39	Tcell	stroma	TGFB1	TGFbR1_R2	5.42364037171248e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
40	basal_like_1	Tcell	TGFB1	TGFbR1_R2	1.14021491473225e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
41	Bcell	Tcell	TGFB1	TGFbR1_R2	2.22086383340657e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
42	endothelial	Tcell	TGFB1	TGFbR1_R2	3.6479778426853e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
43	macrophage	Tcell	TGFB1	TGFbR1_R2	4.84382474765212e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
44	stroma	Tcell	TGFB1	TGFbR1_R2	2.91577513520796e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
45	Tcell	Tcell	TGFB1	TGFbR1_R2	6.51354995353427e-06	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
46	basal_like_1	basal_like_1	TGFB3	TGFbR1_R2	5.42988547213124e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
47	Bcell	basal_like_1	TGFB3	TGFbR1_R2	9.51201100875553e-07	0	TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
