	n_cci_sig_cpdb	ccis_cpdb	ps_cpdb
KLRG2_WNT11	0		
KLRG2_TNFSF9	0		
HLA-DPA1_TNFSF9	0		
PVR_TNFSF9	0		
KLRG2_WNT5B	0		
HLA-DPA1_GAL	0		
GALR2_GAL	0		
GALR3_GAL	0		
PVR_CD96	14	Bcell--Tcell,Tcell--Tcell,basal_like_1--Tcell,basal_like_1--macrophage,endothelial--Tcell,endothelial--macrophage,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Tcell,macrophage--macrophage,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.5228787452803374,3.0,1.3187587626244128,3.0,1.3279021420642825,3.0,2.221848749616356
PVR_CD226	0		
PVR_TIGIT	26	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Tcell,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,mesenchymal--stroma,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,1.408935392973501,3.0,1.3665315444204136,3.0,1.8239087409443189,3.0,3.0,3.0,1.5086383061657274,3.0,2.3979400086720375,3.0,1.7958800173440752,3.0,3.0,3.0,2.3979400086720375,1.6575773191777938,3.0,2.3979400086720375,1.853871964321762,3.0,1.5228787452803376,3.0,3.0
PVR_NECTIN3	0		
CADM3_NECTIN3	0		
CADM1_NECTIN3	0		
NECTIN1_NECTIN3	0		
TIGIT_NECTIN3	0		
NECTIN2_NECTIN3	0		
CADM3_CADM1	9	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma	2.5228787452803374,1.6777807052660807,3.0,3.0,1.853871964321762,3.0,3.0,3.0,2.5228787452803374
CADM1_CADM1	5	basal_like_1--luminal_ar,luminal_ar--basal_like_1,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--luminal_ar	1.853871964321762,1.853871964321762,1.6197887582883939,1.7958800173440752,1.7958800173440752
CRTAM_CADM1	0		
