0	1	2	3	4	5	6	7	8	9	10
0	639	501	509	523	612	494	491	575	524	492	542
1	538	432	436	433	515	421	411	474	450	420	458
2	525	413	416	416	504	404	406	451	438	411	446
3	540	416	422	415	504	406	405	462	430	406	446
4	619	491	500	493	590	474	476	557	508	483	523
5	510	403	410	397	487	393	405	444	420	392	426
6	514	403	403	404	496	392	400	437	419	397	427
7	573	448	457	443	546	436	431	513	457	438	475
8	547	435	437	436	523	426	419	476	450	429	464
9	530	413	420	408	505	399	406	464	429	400	441
10	556	435	442	446	527	434	437	495	456	430	473
