n_cci_sig_scsignalr	ccis_scsignalr	ps_scsignalr
A2M_LRP1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.843114496066808,0.829642162047417,0.834183485624766,0.850746264924935,0.877240948504561,0.842170248382192,0.864257575927832,0.798202292042021,0.872725075433798,0.853206473734804,0.753319235094772,0.732559644186599,0.752572158797081,0.860430273394761,0.850748051927125,0.764099471714549,0.837805132868748,0.743938725886728,0.858070993514628,0.763374788420274,0.883443572388556,0.815486583039535,0.803398929010562,0.698987752654569,0.787376167997938,0.79276275799821,0.675624668219318,0.812533103068619,0.698142065961865,0.844571873312073,0.850085593016424,0.839819337650097,0.748700204392437,0.826122393345839,0.830738402703256,0.727692408278592,0.847582423115087,0.747943819863579,0.874555921119268,0.905570321977651,0.898650701934548,0.834398803939604,0.889321409579179,0.892478011993199,0.818821467363466,0.903888854177303,0.833843118084894,0.921816904231015,0.800528759410132,0.787716287235894,0.678311267442914,0.770780072069556,0.776467743899075,0.654137442511522,0.797395336638364,0.677434297812096,0.831484654344699,0.880325346415118,0.87181767574416,0.794445664766413,0.860402074216367,0.776118503860292,0.878254786892717,0.793789046037616,0.900437784805624,0.810534102560718,0.692089014669208,0.781871000022453,0.7873593925027,0.668444465925102,0.807520059962368,0.69123250777797,0.840247131552049,0.881180728597023,0.795772474299817,0.861377435440434,0.865210219125276,0.77753048421897,0.879122936423861,0.795119000873782,0.901165551476194
ADAM12_ITGB1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.607345823395087,0.596057380922047,0.63939052697257,0.617384127938359,0.627861191745327,0.678006641582972,0.691768679665333,0.569280576081744,0.697170981606353,0.598588741822938,0.599626512037677,0.603394445608,0.59462918141251,0.639107981300013,0.647501652557626,0.640103979678193,0.636677048683068,0.643717319909951,0.65709297732502,0.63530459463093,0.667069062434999,0.524055688323102,0.533170678294815,0.52513328567144,0.521430087639668,0.566952630297906,0.529051664596266,0.543680530111216,0.519950535055907,0.554720196366373,0.620384042856532,0.628960374004095,0.621401104572486,0.617902391405886,0.660227936763453,0.62509224075432,0.638774750637499,0.616501735015761,0.648999087567229,0.561466935791998,0.570452716028705,0.56253053810702,0.558873994440042,0.603542882312114,0.566395132077204,0.580783176753525,0.557411945477113,0.591599495182278,0.523886721556935,0.533002063849678,0.524964354690018,0.521261040269809,0.56678630339051,0.528882876998018,0.543512461633683,0.519781446379763,0.554552862552527,0.653683353347514,0.661917354674636,0.65466086191371,0.651297032059519,0.658206091096519,0.671315545693103,0.649949440747434,0.681078683481999,0.560289176063978,0.5613534032347,0.557694756762752,0.602398102562635,0.565220358771547,0.579618452739494,0.556231902821333,0.590443630919388,0.689392679877826,0.690317146368205,0.68713464844297,0.725201828475825,0.693667612217148,0.706024418505048,0.68585875284445,0.715193969472476
ADAM12_SDC4	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.615907558406209,0.658830712019257,0.620030469776586,0.632555195393618,0.624260920500509,0.659616095270924,0.673785967170798,0.578095737134741,0.704726321529783,0.627532648471959,0.677965666408446,0.686288197526638,0.66690395960431,0.666756761795056,0.655684186623772,0.714296749539858,0.696353690666903,0.722065270821501,0.671527244744993,0.703938025161322,0.663644902608689,0.554372911155006,0.54213047119864,0.608532369606854,0.587780259072614,0.546462157928923,0.617637288594663,0.559689784659775,0.596505109701679,0.550918438821844,0.648678763760159,0.637332238838596,0.697628173482526,0.679108558811941,0.641359088448146,0.705663166312646,0.653573578441971,0.686929979588275,0.645487848280596,0.591259779262861,0.579261617594894,0.643816534766592,0.623778479898331,0.583511892791276,0.652569337476928,0.596456912079605,0.632218153326438,0.587878680060564,0.554205551714407,0.541962312789415,0.608370981284122,0.587616113095775,0.546294258999652,0.6174772943775,0.559522835461502,0.596342052030478,0.550750833367613,0.680773235462862,0.669935835856807,0.727131971051438,0.709667360558872,0.734681124567338,0.685437730851537,0.717054272750782,0.677729000330739,0.590103619694806,0.642719205010995,0.622655599099547,0.582349298235191,0.651484376112185,0.595305391106495,0.631105565194764,0.586719641637662,0.714907518476255,0.758070813009255,0.741883476926763,0.708347302014957,0.765040599434053,0.719278917592097,0.748740923352052,0.712051113625375
ADAM15_ITGA5	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.729344126305061,0.747033112823704,0.815375891182915,0.718626045248015,0.763250871923214,0.780857528146422,0.794668473572458,0.703148834443615,0.733737174936191,0.695755551765213,0.655891711089741,0.632716504972662,0.664597885466604,0.648513204898284,0.684955683623956,0.605965032401447,0.704369817902293,0.581572443748622,0.673267264526623,0.615193288209762,0.722305993569376,0.685224667967991,0.719507147439128,0.64468566721664,0.737607744854135,0.807841919790387,0.621191631183455,0.708555180995506,0.653525592582065,0.754230967874041,0.700257826837728,0.733539710857512,0.660696212695829,0.751048087521879,0.818569600723604,0.637665829703117,0.722924658017067,0.669342111113406,0.767088698660531,0.720346084222,0.752186816223592,0.682232678615697,0.768856028338199,0.832623996933437,0.659911643435723,0.7420533928048,0.690586799941742,0.784079100589829,0.663364649168011,0.698982044903734,0.621565183159439,0.717887826290139,0.791911298745578,0.5974968500566,0.687576654620497,0.630650776461259,0.735312047174632,0.667109085035438,0.702507973231472,0.625512087615469,0.721280607892988,0.60153385404932,0.691177153449135,0.634558634417643,0.738571589267653,0.667790141848163,0.626230565592623,0.721897037999001,0.795168688100563,0.602269084346435,0.691831716196165,0.635269876365178,0.739163607053175,0.700469883735953,0.660922705529054,0.751236976887677,0.818719624585906,0.63789927035275,0.723127019359695,0.669565719034531,0.767269188768896
ADAM15_ITGAV	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.732858460421369,0.736684089440975,0.778335206136559,0.756844057604011,0.771813524573542,0.739107380285284,0.754723037599059,0.706866597474559,0.737215019728251,0.711329114307396,0.694279435118292,0.68365265473678,0.703477782142798,0.665341827268599,0.688800455359485,0.64692419675256,0.692992711001152,0.635515509963216,0.715204590823281,0.656843116114566,0.731829213240212,0.701105707170319,0.723100717179645,0.68372068428753,0.727014031771674,0.769716605705394,0.672899800388741,0.747660760290812,0.693096285201432,0.763018558452712,0.715695101131547,0.737019210441754,0.698794097444222,0.740806328527659,0.781998349783167,0.688253781431545,0.760753187120144,0.707913756049263,0.775553364190394,0.73514008835414,0.755503977973547,0.71894107906451,0.759111904944183,0.798187266511099,0.708811999488521,0.778072042452601,0.727688451305098,0.792093643583189,0.679833255576169,0.702729930612749,0.66180776860905,0.706814410086529,0.75159714529958,0.650620275829549,0.728418189688392,0.671520869332331,0.744546982043,0.683481912818933,0.706230409151697,0.665560791192743,0.710286620828887,0.654432623146904,0.731731654348346,0.675219000052036,0.747731815442325,0.684145332415721,0.666243430862418,0.710917620634688,0.755290598190954,0.655126207208422,0.732333547990385,0.675891525947289,0.748310158488259,0.715900667562478,0.699006744772086,0.741000308935338,0.78217056690852,0.688470552664971,0.76093705674097,0.708122654239586,0.775729212554263
ADAM15_ITGB1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.839548516210819,0.833101225641476,0.857101701389533,0.845163898931181,0.850909940864935,0.828746120742886,0.840156803624411,0.821407528031847,0.842539002275211,0.834559422837298,0.835155139874927,0.837307907834654,0.832275295842596,0.802760105532251,0.808488094696961,0.803443357439095,0.801088431214723,0.805914017830817,0.814950912505711,0.800142084801874,0.821581477774682,0.827642799164312,0.832798684615356,0.828258296324416,0.826136339156177,0.8509592041857,0.830482850841725,0.838604881541847,0.825283170694283,0.844549561830876,0.837487427230107,0.842404896395514,0.838074646765167,0.836049967625613,0.859697818468084,0.840196583259329,0.847938419389909,0.835235744256751,0.85359933309381,0.85034428909842,0.854940106682663,0.850893323094192,0.849000047107975,0.871068060952359,0.852876767323372,0.860106581421268,0.848238463202468,0.865386416096284,0.812973699988411,0.818472151333221,0.813629785349154,0.811368248676248,0.837885835002369,0.816001728094831,0.824671109804483,0.810459238054329,0.831025602053935,0.815516811605226,0.82095696297234,0.81616599307893,0.813928194124137,0.818512857370213,0.827088994280686,0.813028677029864,0.83337356071896,0.81597799816232,0.816625921672081,0.814392448178999,0.840568435149562,0.818968216769932,0.827527369906339,0.81349466113529,0.83379920498343,0.837624911064429,0.838211729787922,0.836188429671981,0.859819657623262,0.840332212133688,0.848068665752322,0.835374758543167,0.853725567118229
ADAM17_ITGA5	16	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,basal_like_1--endothelial,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--endothelial	0.510755940176898,0.609570404873781,0.532644798536137,0.542042492294054,0.57930321183613,0.530729474646834,0.515292157405948,0.613883043993524,0.537161975373204,0.520273985934565,0.618601571705917,0.542118760411642,0.522663756506131,0.501293017604913,0.549627480085694,0.553426447834786
ADAM17_ITGB1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.649092399912757,0.638289356785918,0.679527860725572,0.658663258478181,0.668616698969076,0.616487088307363,0.651584138037937,0.591147478667431,0.594854381122949,0.640715589337904,0.641709638268174,0.645315790326552,0.636919519979323,0.57481711971921,0.583732157453795,0.575872801833171,0.572242976599784,0.579707593105184,0.593970566400305,0.570791207968855,0.604678232478136,0.563661990797152,0.572637028263645,0.564724396570917,0.561071882045242,0.605675241462552,0.568584473323112,0.582953362105509,0.559611377467296,0.593752853458296,0.644884620517133,0.653216839017581,0.645873510050857,0.642470831286811,0.683469018873638,0.649460646302869,0.66273365589607,0.641107926209159,0.672627396604669,0.649440639872283,0.657722696454675,0.650423719654567,0.647040869267078,0.687769686417552,0.653989456771419,0.667178861983857,0.645685777752269,0.677005755014955,0.555688439613761,0.564700826641244,0.556754992904357,0.553088527234249,0.597921777084549,0.560630757494123,0.575066574806383,0.551622687103355,0.585925230440639,0.611323339514271,0.619978980311651,0.612349507974379,0.60881980442569,0.616074369210572,0.629891128735081,0.607407007823125,0.640225291280523,0.582277605754857,0.583328191613918,0.579715605322714,0.623695068165797,0.587143900991091,0.60132806615545,0.578270507348652,0.611968459157089,0.58600860849174,0.587056465475928,0.583453121192729,0.627292926956208,0.590861979561355,0.605004340950935,0.582011608350959,0.615609336424539
ADAM9_ITGAV	30	Tcell--endothelial,macrophage--endothelial,stroma--Tcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--macrophage,Tcell--stroma,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.566536348917493,0.594781460242957,0.502681664045938,0.505228877728378,0.510135356301541,0.53673284302969,0.557327327003271,0.551486844090065,0.521522502626454,0.542216446585522,0.528969188604196,0.51963876540636,0.55568669207469,0.525761652914477,0.546431707548403,0.554844816971225,0.524911553705644,0.545586636501164,0.507405586091192,0.534184211449178,0.539065515877174,0.565430325038856,0.58573372217937,0.532632788756893,0.502545037602503,0.523309537797466,0.50758878346198,0.564032404229016,0.534198286430332,0.554811987911105
ADAM9_ITGB1	81	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell,Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--luminal_ar,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.592199842666212,0.580776527027966,0.624716840496889,0.602371851865615,0.613002315407595,0.690651251635726,0.714879059575269,0.629389494823754,0.65845695936183,0.583336708466206,0.584386531905857,0.588199391396922,0.579332429861699,0.65249721316145,0.66074477973091,0.65347629491324,0.650107093494815,0.657027313876479,0.670159323718175,0.648757383587346,0.679940431524277,0.638527979138523,0.646927687800202,0.6395246753774,0.636095364216625,0.677457604803212,0.64314058926001,0.656526345529635,0.634721973505443,0.666510549052342,0.617348150295442,0.625951715373207,0.618368342242088,0.614858973284438,0.657334686479815,0.622071063433712,0.635799591973145,0.613454139737324,0.646061479311932,0.642441219040482,0.650799724013533,0.643433150597416,0.640020092408232,0.68115984192705,0.647031497287459,0.660348382980351,0.638653099474733,0.67027728338162,0.641657721415418,0.650024564361919,0.642650617519203,0.639234268709854,0.680418981754989,0.646252519608074,0.659583332361602,0.637865980130522,0.669523404731147,0.678321420924487,0.686250793021164,0.679263508447552,0.67602072828474,0.682678591547566,0.69528394935042,0.674720964555505,0.704648366404866,0.62081710272011,0.621833711438218,0.61833654063469,0.660640406987767,0.625523171651358,0.639199032054454,0.616936489092841,0.649417950893113,0.650183220166,0.651165336055421,0.647785776041872,0.688470022004332,0.654727524176644,0.667903081866944,0.646431981653608,0.67771892078515
