n_spots	n_spots_sig	cci_tested	n_cci_sig	n_cci_sig_cellchat	ps	ps_cellchat	ccis	ccis_cellchat
MCAM_MCAM	1140	70	TRUE	17	36	2.22184874961636,1.48148606012211,2.39794000867204,2,2.69897000433602,2,2,2,2.39794000867204,1.32790214206428,2,2.52287874528034,2,2,2,3,2	2,2,1.69897000433602,2,1.69897000433602,2,2,2,2,2,2,2,2,2,2,2,2,1.69897000433602,2,2,1.69897000433602,2,2,2,2,2,2,2,2,2,2,2,2,1.69897000433602,2,1.39794000867204	Bcell--Bcell,Bcell--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_2,stroma--endothelial,stroma--mesenchymal,stroma--stroma	endothelial--basal_like_1,stroma--basal_like_1,Bcell--Bcell,endothelial--Bcell,macrophage--Bcell,stroma--Bcell,Tcell--Bcell,basal_like_1--endothelial,Bcell--endothelial,endothelial--endothelial,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,stroma--endothelial,Tcell--endothelial,endothelial--luminal_ar,stroma--luminal_ar,Bcell--macrophage,endothelial--macrophage,stroma--macrophage,Tcell--macrophage,endothelial--mesenchymal,stroma--mesenchymal,basal_like_1--stroma,Bcell--stroma,endothelial--stroma,luminal_ar--stroma,macrophage--stroma,mesenchymal--stroma,stroma--stroma,Tcell--stroma,Bcell--Tcell,endothelial--Tcell,macrophage--Tcell,stroma--Tcell,Tcell--Tcell
NECTIN4_NECTIN4	1461	66	TRUE	5	9	2,2,2.69897000433602,1.92081875395238,2	2,2,2,2,2,2,2,2,2	basal_like_1--basal_like_1,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--luminal_ar,mesenchymal--mesenchymal	basal_like_1--basal_like_1,luminal_ar--basal_like_1,mesenchymal--basal_like_1,basal_like_1--luminal_ar,luminal_ar--luminal_ar,mesenchymal--luminal_ar,basal_like_1--mesenchymal,luminal_ar--mesenchymal,mesenchymal--mesenchymal
TGM2_ADGRG1	3202	58	TRUE	15	21	2.09691001300806,1.44369749923271,2,1.63827216398241,2.69897000433602,1.46852108295774,2.69897000433602,2,2.52287874528034,2,1.82390874094432,2.30102999566398,1.56863623584101,1.53760200210104,2	2,2,2,2,2,2,1.39794000867204,1.69897000433602,2,2,2,2,2,1.69897000433602,2,1.69897000433602,2,2,2,2,2	basal_like_1--basal_like_1,basal_like_1--endothelial,basal_like_1--macrophage,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,macrophage--basal_like_1,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	basal_like_1--basal_like_1,Bcell--basal_like_1,endothelial--basal_like_1,macrophage--basal_like_1,stroma--basal_like_1,endothelial--endothelial,macrophage--endothelial,stroma--endothelial,basal_like_1--luminal_ar,Bcell--luminal_ar,endothelial--luminal_ar,macrophage--luminal_ar,stroma--luminal_ar,Tcell--luminal_ar,endothelial--macrophage,basal_like_1--mesenchymal,Bcell--mesenchymal,endothelial--mesenchymal,macrophage--mesenchymal,stroma--mesenchymal,endothelial--stroma
GPC3_IGF1R	1858	57	TRUE	9	19	2,2,1.31875876262441,2,2,2,2,2,2	2,2,1.69897000433602,2,2,2,2,2,1.52287874528034,2,2,2,2,2,2,2,2,2,1.39794000867204	basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--mesenchymal,luminal_ar--basal_like_1,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--basal_like_1,mesenchymal--luminal_ar,mesenchymal--mesenchymal	luminal_ar--basal_like_1,mesenchymal--basal_like_1,endothelial--Bcell,luminal_ar--Bcell,mesenchymal--Bcell,luminal_ar--endothelial,mesenchymal--endothelial,basal_like_1--luminal_ar,Bcell--luminal_ar,endothelial--luminal_ar,luminal_ar--luminal_ar,mesenchymal--luminal_ar,stroma--luminal_ar,Tcell--luminal_ar,basal_like_1--mesenchymal,endothelial--mesenchymal,luminal_ar--mesenchymal,mesenchymal--mesenchymal,Tcell--mesenchymal
SPP1_ITGB1	3470	56	TRUE	12	0	3,2,1.82390874094432,3,2,2,3,3,2,2,1.52287874528034,2		basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--mesenchymal,basal_like_2--stroma,macrophage--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--mesenchymal,stroma--basal_like_2,stroma--mesenchymal,stroma--stroma	
SPP1_CD44	3297	56	TRUE	13	0	2,2.52287874528034,2,1.65757731917779,2,2,2,2,2,2,2.69897000433602,2,2		basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--mesenchymal,basal_like_2--stroma,macrophage--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_2,stroma--stroma	
PTPRM_PTPRM	1003	56	TRUE	18	29	2,1.82390874094432,1.30980391997149,2,1.69897000433602,1.79588001734408,2,2,1.58502665202918,1.31875876262441,2,2.69897000433602,2,2.52287874528034,2,2.52287874528034,2,2	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.69897000433602,2,2,2,2,1.69897000433602,2,2,2,2,2,2,2	Bcell--Bcell,Bcell--Tcell,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,basal_like_1--basal_like_2,basal_like_2--basal_like_2,basal_like_2--stroma,endothelial--Bcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,stroma--basal_like_2,stroma--endothelial,stroma--stroma	endothelial--basal_like_1,stroma--basal_like_1,Tcell--basal_like_1,basal_like_1--endothelial,endothelial--endothelial,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,stroma--endothelial,Tcell--endothelial,endothelial--luminal_ar,stroma--luminal_ar,endothelial--macrophage,stroma--macrophage,Tcell--macrophage,endothelial--mesenchymal,stroma--mesenchymal,basal_like_1--stroma,endothelial--stroma,luminal_ar--stroma,macrophage--stroma,mesenchymal--stroma,stroma--stroma,Tcell--stroma,basal_like_1--Tcell,endothelial--Tcell,macrophage--Tcell,stroma--Tcell,Tcell--Tcell
SPP1_ITGB5	3411	55	TRUE	14	0	1.34678748622466,2,2,1.46852108295774,2,2,1.35654732351381,1.50863830616573,3,1.74472749489669,1.56863623584101,2,2,2.52287874528034		basal_like_1--basal_like_2,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--mesenchymal,basal_like_2--stroma,macrophage--mesenchymal,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,stroma--basal_like_2,stroma--stroma	
SPP1_ITGAV	3003	52	TRUE	13	0	2.69897000433602,2,2,1.69897000433602,3,3,1.76955107862173,2,2,1.32790214206428,2,2,2.69897000433602		basal_like_1--basal_like_2,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--mesenchymal,basal_like_2--stroma,macrophage--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,stroma--basal_like_2,stroma--stroma	
MMP7_CD44	2739	48	TRUE	12	31	2,2,2,2,2,2,1.65757731917779,2.69897000433602,2,3,2,2.39794000867204	2,1.39794000867204,2,2,2,2,2,2,2,2,2,2,1.69897000433602,2,2,2,2,2,2,2,2,2,2,1.39794000867204,2,2,2,1.69897000433602,2,2,2	basal_like_1--mesenchymal,basal_like_2--basal_like_2,basal_like_2--mesenchymal,endothelial--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--mesenchymal,stroma--stroma	Bcell--basal_like_1,macrophage--basal_like_1,mesenchymal--basal_like_1,mesenchymal--basal_like_2,Bcell--Bcell,mesenchymal--Bcell,Bcell--endothelial,mesenchymal--endothelial,basal_like_1--luminal_ar,Bcell--luminal_ar,macrophage--luminal_ar,mesenchymal--luminal_ar,Tcell--luminal_ar,basal_like_1--macrophage,Bcell--macrophage,macrophage--macrophage,mesenchymal--macrophage,Tcell--macrophage,basal_like_1--mesenchymal,Bcell--mesenchymal,macrophage--mesenchymal,mesenchymal--mesenchymal,Tcell--mesenchymal,Bcell--stroma,mesenchymal--stroma,basal_like_1--Tcell,Bcell--Tcell,luminal_ar--Tcell,macrophage--Tcell,mesenchymal--Tcell,Tcell--Tcell
