gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	_0_	_1_	_4_	_2_	_3_	_6_	_7_	_5_	_8_	_10_	_9_
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.414	0.265	0.397	0.277	0.22	0.283	0.348	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.414	0.265	0.397	0.277	0.22	0.283	0.348	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.414	0.265	0.397	0.277	0.22	0.283	0.348	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.215	0.093	0.178	0.129	0.115	0.118	0.133	0.108	0.122	0.094	0.161
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.183	0.265	0.397	0.261	0.22	0.283	0.156	0.23	0.294	0.129	0.281
ACVR1	Q04771	True	ACVR1_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.002	0.002	0.051	0.003	0.01	0.011	0.0	0.015	0.011	0.009	0.005
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.414	0.265	0.397	0.277	0.22	0.283	0.348	0.23	0.294	0.129	0.281
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.414	0.265	0.397	0.277	0.22	0.283	0.348	0.23	0.294	0.129	0.281
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.414	0.265	0.397	0.277	0.22	0.283	0.348	0.23	0.294	0.129	0.281
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.325	0.47	0.281	0.344	0.395	0.351	0.217	0.408	0.499	0.223	0.55
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.021	0.007	0.019	0.005	0.013	0.037	0.0	0.066	0.069	0.011	0.0
