	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
A2M_LRP1	23	Bcell--stroma,Tcell--Bcell,Tcell--macrophage,Tcell--stroma,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.021714514929309092,0.01616100230520786,0.01554259402179965,0.024428936521126668,0.02066779860630645,0.03910630010325706,0.033431797959348065,0.027454253764400582,0.029296778494141962,0.037609879308272816,0.059112999599705764,0.023009195762210142,0.0196704567268748,0.01615341511987924,0.01723751185343348,0.0221287381652623,0.03478065110454663,0.023387058188672268,0.01999348959535265,0.01641869030358958,0.01752059032877096,0.022492141509911318,0.035351827140254984
ADAM12_ITGB1	24	Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.015291507618843231,0.020093555220055792,0.016641160340270442,0.01819348951903096,0.01711177952670602,0.01549367337246305,0.01614621867691122,0.01737178692415145,0.01628635389797959,0.01580991820598323,0.02282711218096924,0.01680652281749219,0.01890504839729376,0.01562357116108786,0.02066855873268676,0.02232506224282832,0.02401963159989999,0.02251882448495858,0.02186006612850615,0.031562603632570935,0.02323805192373406,0.02613964239049961,0.02160240769718529,0.028578013800631612
ADAM12_SDC4	22	Bcell--luminal_ar,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.015584517636042641,0.020354901256987742,0.0171263874472392,0.02197906914819341,0.01840965295651023,0.01733434321517137,0.01871749331301599,0.01567775931660639,0.02312401211917145,0.01945628651731384,0.0249691342116658,0.015461968012026069,0.02091412936380326,0.02047718337196729,0.01854955655390499,0.0319731213973114,0.0269018286079863,0.01920890060842308,0.03452433579523469,0.02137896216893907,0.028917559531702764,0.01991285586534496
ADAM15_ITGA5	19	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,stroma--basal_like_2,stroma--endothelial,stroma--stroma	0.015606175082355218,0.03490462938424535,0.01859952983141555,0.02272137509398652,0.03162857235486331,0.0168538267105879,0.016287284215016618,0.036427991881482116,0.019411279639714733,0.016487193712494783,0.01980017485626628,0.04428489116994624,0.02359796304750865,0.0259179233509197,0.026804321445458808,0.02696931825440503,0.016320234012912858,0.0365016871000597,0.01945054939964477
ADAM15_ITGAV	22	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02138039607139389,0.01680037113143019,0.01983904699200616,0.019373688133899582,0.015223532330609359,0.017977006039245368,0.02231351279905439,0.017533599238210542,0.020704893749347208,0.016557918904627118,0.017220936592778933,0.02712615861835759,0.021315298867086892,0.02517058775455716,0.01587570119970411,0.0164186533144379,0.015235004700703618,0.0165197200550972,0.015328785368310218,0.02235865388748743,0.01756907037898919,0.02074678054001764
ADAM15_ITGB1	17	Bcell--endothelial,Bcell--stroma,basal_like_1--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01735391898009863,0.01571291588874237,0.01572512562904418,0.01811130588896235,0.01639868357083527,0.015573634328975319,0.0167557409329826,0.01570880001285458,0.015249259894087718,0.02201760703273967,0.016210522472081,0.018234629209627217,0.01506952117051675,0.01993560116153398,0.01814794575235518,0.015029837766590809,0.01643185873388212
ADAM17_ITGA5	20	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--endothelial	0.01583868491611316,0.019021352954364832,0.04254298518089075,0.02266975859501896,0.02445017505952161,0.02232366688512489,0.01642443213131466,0.01972480179379779,0.04411631246330385,0.02350813299520757,0.01709310930944247,0.02052784476643487,0.04591239107908278,0.015354268156899732,0.0244652042600532,0.02092481474635281,0.03309322958680517,0.01763429441240504,0.02599314214554099,0.02680399288874395
ADAM17_ITGB1	25	Bcell--Tcell,Bcell--basal_like_1,Bcell--endothelial,Bcell--luminal_ar,Bcell--macrophage,Bcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial	0.01609666907549022,0.015090908625964681,0.02115156444932631,0.01557289628775835,0.01751738662441767,0.01915145238886489,0.015514350382158669,0.01669195707666742,0.01564900153262554,0.015191210739121209,0.021933792900676083,0.016148814091634642,0.0181652156889647,0.01501215622456042,0.01985971257354913,0.016145975996431732,0.0173715258231677,0.01628610911124331,0.01580968058015841,0.02282676908549653,0.01680627021252644,0.018904764251122967,0.015623336336091581,0.02066824808064841,0.0164533253946663
ADAM9_ITGAV	23	Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--endothelial,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02189496818325893,0.017204713615280767,0.02031652272603735,0.01937822837992792,0.015227099982866569,0.01798121897122337,0.0161642755772647,0.02004820435120985,0.01575355631833814,0.018602895236405417,0.01991197447598582,0.015646509074904967,0.01847648640434919,0.016855739662906082,0.01753068278877594,0.02761406613713744,0.021698688742837792,0.02562332119132345,0.016646902781436268,0.015446799275816268,0.02145328583071968,0.01685764673120228,0.019906682004737997
ADAM9_ITGB1	16	Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,endothelial--endothelial,luminal_ar--endothelial,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--endothelial,stroma--stroma	0.01777158396202438,0.0160910860725607,0.015728810830266008,0.01627261313801631,0.01616203884325524,0.01585375114871156,0.01705711983808113,0.015991348004448708,0.015523542318769781,0.02241362904853456,0.01650209474771186,0.01856260829500789,0.015340570705651868,0.0202941749586925,0.01741308172776686,0.01576648415069656
