	n_cci_sig_squidpy	ccis_squidpy	ps_squidpy
MCAM_MCAM	32	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NECTIN4_NECTIN4	10	basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--mesenchymal,luminal_ar--basal_like_1,luminal_ar--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--mesenchymal	3.0,1.765577633869814,3.0,2.260427655549908,1.7178048520738134,3.0,3.0,2.1689126744285576,3.0,3.0
TGM2_ADGRG1	21	Bcell--luminal_ar,basal_like_1--luminal_ar,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--mesenchymal,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--mesenchymal	1.8989169125045455,3.0,1.4316664118111773,3.0,1.4397240544808008,1.5570928458114393,3.0,2.539181256502737,3.0,3.0,2.5968873893984377,3.0,2.6221554915675007,3.0,1.7359374261129912,3.0,3.0,3.0,1.3437648613686906,3.0,3.0
GPC3_IGF1R	20	basal_like_2--luminal_ar,basal_like_2--mesenchymal,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	3.0,1.7152725155584183,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SPP1_ITGB1	22	basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Tcell,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,2.022355493970437,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.4793714145228574,3.0,1.342614411737258,3.0,3.0
SPP1_CD44	26	basal_like_1--Tcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,macrophage--Tcell,macrophage--macrophage,macrophage--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	3.0,3.0,1.3763317086222728,1.5275993839529218,3.0,3.0,1.6466292609507016,3.0,2.397148222706315,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5006994879930506,1.7103966642259558,1.5407024296232699,3.0,3.0,1.7581110691844597
PTPRM_PTPRM	32	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	2.3776989512056725,1.3573376685579646,3.0,3.0,3.0,3.0,3.0,3.0,2.4507593537201995,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.9136401693252518,3.0,3.0,3.0,2.102412460140022,1.4729481802322641,3.0,3.0,3.0,3.0,2.214670164989233,3.0,2.3154235170790494,3.0
SPP1_ITGB5	17	basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--stroma,macrophage--luminal_ar,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_1,stroma--luminal_ar,stroma--stroma	1.627517219939609,3.0,3.0,2.3377955608340644,2.2829934834486494,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.824205288912074,3.0,3.0
SPP1_ITGAV	25	basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	2.493423765942062,1.9550328544834767,2.505940323364058,3.0,3.0,3.0,1.3960902575499812,1.4708878162368517,3.0,2.690179935552316,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8197356664569206,3.0,3.0,3.0,3.0
MMP7_CD44	25	Bcell--Tcell,Tcell--Tcell,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--mesenchymal,endothelial--Tcell,luminal_ar--Tcell,macrophage--Tcell,macrophage--macrophage,macrophage--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Tcell,stroma--macrophage,stroma--mesenchymal	1.9679978316478446,3.0,3.0,3.0,1.9847035251506973,3.0,3.0,3.0,1.91556609036129,3.0,3.0,1.6903266814506217,1.731299960992569,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.610675673884071
